,property_id,asa_id,property_type,n_holders
0,01F3NMA3R3E9QMGJKJ2TF4A6HK,LFTY0001,single family,146
1,01F9YN2XC891JSZ1S7M63MBNVX,LFTY0002,single family,82
2,01FBJD5D0H729QC0DZK67RSA3J,LFTY0004,single family,116
3,01FBSM84CT3RNTW13722P5FM5G,LFTY0005,triplex,116
4,01FDD8E2MGZXX2WXT7D4T5ZRRK,LFTY0006,single family,158
5,01FDH2AHH5YWYGFBJN1QVG69KQ,LFTY0007,single family,293
6,01FDTMH0KXNHE870B7T8KMW7V9,LFTY0008,single family,168
7,01FDXK82G96GQS99G4F5TXRY27,LFTY0009,single family,158
8,01FE2DFK3B1JMJK6GC37NZ9521,LFTY0010,triplex,152
9,01FEFADYB3PZG81EXEKSTCCMCV,LFTY0011,single family,187
10,01FF0R0PD9E0F8TY4KHP680FDD,LFTY0012,single family,70
11,01FFDC3PKRN4ASNXB3RXNTMDME,LFTY0013,single family,148
12,01FFGJ6KV1AP234NKH4ZBQ8N13,LFTY0014,single family,210
13,01FG1XQG32PVZG5A5B6JHQDQZE,LFTY0016,single family,113
14,01FG4NWXGEN87QTSA1RR3QWZKZ,LFTY0017,single family,212
15,01FG8BB94G8P6PYYW7YM9BVBMG,LFTY0019,single family,199
16,01FG9TK5697PHWZF3VA7KFPTVT,LFTY0018,duplex,267
17,01FGMG8MRDHVQCW9RBY4VTCREY,LFTY0020,single family,145
18,01FGPR6RH69YDGKAMRTPE6XNBE,LFTY0021,single family,44
19,01FGS6HM0KWR822QJ20DF98ZQA,LFTY0022,single family,215
20,01FGVZAJ6DK5SJM3W4ECFGCZFY,LFTY0023,single family,202
21,01FH3DDBK4CFFSNGN65PZB5ZGH,LFTY0024,single family,235
22,01FH6Q057EZ7V0Y1WY2AQ7GVAR,LFTY0025,duplex,96
23,01FH96CJNWDCTGV6Y8PS4MZFSH,LFTY0029,single family,111
24,01FHE85W8EPCGPRDJAJMAFPSSP,LFTY0028,single family,193
25,01FHGRJ6VB01SS4CC7Z068BDAM,LFTY0031,single family,47
26,01FHR5PK90GXRD3T56A1MXWYQT,LFTY0034,single family,156
27,01FHV4VKVX95QJT2MMJABTTJMM,LFTY0036,single family,120
28,01FHXGY78BHFZM2PK79F4JBZCS,LFTY0038,single family,116
29,01FJ0V9E5W530JWHK57PF0MZMH,LFTY0040,single family,1
30,01FJ37T1FMS1ADNHFG8QHD2DPS,LFTY0042,commercial,98
31,01FJATT1XY6K1XJPZ37GN6JSCD,LFTY0043,single family,118
32,01FJG0QAVSKK1MQWZ28XXVXSPB,LFTY0037,single family,231
33,01FJZ4S4KD7CJVZB8BRVYVCAZD,LFTY0049,single family,188
34,01FK1E5NHX4PEZC1GXVSSAPWXP,LFTY0041,single family,63
35,01FK4QMB4DJP66KNJDBFAKBZSP,LFTY0054,single family,140
36,01FKER0A73QJBYP4JQHW10KYBH,LFTY0046,single family,137
37,01FKH3TZ7FWKFHZV5YB94HV0YM,LFTY0056,single family,172
38,01FKKH0XY0RTNV2B74JVAEQJXX,LFTY0026,single family,151
39,01FKPEZVFSD6KDYN5DY5Y7Z2AE,LFTY0068,single family,135
40,01FKSCK3GDAFCF0HVMRAGGG8MN,LFTY0069,single family,108
41,01FKVM5P0WS9JPMCDZ1GB1RQQG,LFTY0062,duplex,441
42,01FKZ6V2JVV5NB1BYGX1Q5BJFD,LFTY0027,duplex,149
43,01FM632J5ZX33231WGAPBAQW67,LFTY0072,single family,181
44,01FMB6BRGYJDJ06P5G3XMF5XY5,LFTY0078,duplex,72
45,01FMBAJS39T784QYDBVC03K0GR,LFTY0059,duplex,480
46,01FMDJ818RZTM1WQEKN9Z7GXGY,LFTY0073,single family,55
47,01FMN4Q2M9MW33ERXJKG61MTRD,LFTY0082,single family,182
48,01FMR7NN4VTT9E9WFH8G32E7XY,LFTY0061,single family,171
49,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,LFTY0077,triplex,67
50,01FN0KMRMBY5FYT24A8935ZZXM,LFTY0084,single family,170
51,01FN4YH4XH19G1T0QMSWYD1QAB,LFTY0089,single family,182
52,01FN7VZB6DXAB3CBENQV1CHFQD,LFTY0050,single family,132
53,01FNA2XERVE2KF27MBW9PCAABG,LFTY0093,duplex,46
54,01FNEZC3W9TXWMWDGQPC4FFMTZ,LFTY0094,single family,94
