property_id,asa_id,asset_id,created_date,all_time_txns,circulating_supply,total_holders
01K1VKTF50B18YPKEKKMNT988E,LFTY0477,3158208544,08/06/2025,308,75914.0,63
01K1KKTQACRHR32FF2GJAT6WZS,LFTY0484,3218129943,09/18/2025,863,36270.0,154
01HH55NJSE80CHPE90B1RTRQRB,LFTY0314,1283150379,12/22/2023,16408,7921.0,301
01J4FD23YKCPS1NHKJ75DR9MX6,LFTY0420,2219072165,08/06/2024,4228,15229.0,241
01JWM9CKG1PV7XH2AJTBKQVFX8,LFTY0476,3173144954,08/15/2025,8909,39213.0,153
01JD8CCY5S26Q0GZFDVSYHVFQ7,LFTY0424,2541028868,11/26/2024,1253,12540.0,168
01FKVM5P0WS9JPMCDZ1GB1RQQG,LFTY0062,404014477,11/07/2021,6605,5683.0,441
01HW421V0876XEFDHBT50NXB2W,LFTY0403,1784381997,04/23/2024,1614,4694.0,95
01JV0G4JF3QTNYHBPG8ZSN4HNZ,LFTY0465,2991854566,05/13/2025,340,2725.0,52
01HJ4RS5TXHB8A3PE531FQYP9W,LFTY0303,1283139906,12/22/2023,1465,13176.0,120
01JNA7KFSHXDN81J3878604RDH,LFTY0462,2813077109,03/04/2025,7066,9303.0,90
01HYRV9P22M7QEQPHM5ZPZ5Z4R,LFTY0405,1886780008,05/28/2024,1803,6272.0,140
01HYBVZP90CE1RTGG1G1BC7HMZ,LFTY406,1868649204,05/22/2024,1679,5725.0,106
01J1ZRN9EZVYA08NMNVHT2BPC1,LFTY413,2158057006,07/09/2024,10842,53472.0,275
01HQVKYZA53QNGAW5XR6EF7ACV,LFTY0331,1635463099,03/05/2024,2067,12754.0,183
01HFFQFZWY1PSWQN5XXCMVVD47,LFTY0321,1257136405,11/28/2023,875,16968.0,66
01J5HA7KYGT2D6WSZ4372YVNCH,LFTY0426,2248486597,08/20/2024,2321,5904.0,165
01HZAJS22825QK60XJYVQBT52G,LFTY0411,1909383343,06/05/2024,12152,18352.0,247
01JP0PKYWK2E02TW4S92MH6K8H,LFTY0452,2831851250,03/12/2025,8610,14834.0,91
01G4BMJE4911TXDAHY873G33ZZ,LFTY0144,760111092,05/31/2022,2304,2024.0,131
01J1NKR4GXJVGR3ZVZQYFNFKT7,LFTY0415,2142873258,07/02/2024,1072,9074.0,107
01FFDC3PKRN4ASNXB3RXNTMDME,LFTY0013,330057448,09/12/2021,2496,2341.0,148
01J51836J2K9FEGK52PBNGRQXN,LFTY0418,2231655812,08/13/2024,700,6240.0,132
01G4XPM2EVX59KGVACEC12K7V7,LFTY0146,768368477,06/07/2022,1810,1766.0,117
01J6QHBXE66ENV6C2J4ARPW4PB,LFTY0407,2279936615,09/04/2024,1345,15263.0,158
01JGMSZ4NEGCFF8T8CEE5XXYQ7,LFTY0432,2669995238,01/07/2025,10644,5563.0,141
01JHGPXTJTYYSNVMBRTP7A98AT,LFTY0419,2688844808,01/14/2025,10162,5196.0,50
01HSV845H03Q0VEMW0DMFZJ12K,LFTY0305,1718202069,04/02/2024,12580,1233.0,81
01H93J1F8NAKD6J8E46BPD3JX3,LFTY0318,1182542917,08/30/2023,2201,4131.0,63
01GE0CM20MNH70QYRC06M90W7K,LFTY0218,886638002,09/28/2022,5785,6640.0,382
01J8BT5KV9BX8ASAR3ZH8P04AT,LFTY0428,2318243396,09/24/2024,934,12445.0,102
01JVN6C1EQCC8C045JPE9MB0G8,LFTY0468,3006807883,05/20/2025,266,2854.0,39
01J79A2XE99Q5S0ABG1DVGRZWX,LFTY0416,2290967272,09/10/2024,638,18554.0,68
01FG9TK5697PHWZF3VA7KFPTVT,LFTY0018,2834616061,03/13/2025,1179,3974.0,267
01JZKJ3S5DB9ZVX3N7XE1Z7YFX,LFTY0475,3106613180,07/08/2025,383,6661.0,40
01JV36MV51N74VJJKTWGN8ASGX,LFTY0446,2991847207,05/13/2025,77,2745.0,11
01GF3XG5EMM2K9VBR4C7YYWT6J,LFTY0236,900942105,10/12/2022,2712,3830.0,203
01G8CBTQ5RHES6V70N19QNVSJN,LFTY0161,2835162400,03/13/2025,626,2771.0,121
01JDZ5WSZTE1MSJX2TT9DFQWHF,LFTY0439,2565836556,12/04/2024,826,7400.0,62
01JVN4AZ3GYEW22846F94G4XV5,LFTY0467,3006803169,05/20/2025,185,2349.0,26
01J36EWEPMATDS22WVCH0Q2CWY,LFTY0323,2189603070,07/23/2024,1108,18461.0,103
01G00KEEJQAEGGA2FWGQ7JMG5R,LFTY0129,2835131769,03/13/2025,1194,3122.0,215
01GHCHM3043344FXBM0F8FQC0J,LFTY0220,2835162402,03/13/2025,932,2892.0,133
01J429HMDY0PCR92PENMD704S7,LFTY0404,2205554793,07/30/2024,1338,10872.0,99
01FFGJ6KV1AP234NKH4ZBQ8N13,LFTY0014,2834595769,03/13/2025,824,2528.0,210
01HXSY49VNK797SFEEJ5FQAB7B,LFTY402,1847628608,05/14/2024,1497,6546.0,75
01FJZ4S4KD7CJVZB8BRVYVCAZD,LFTY0049,385007719,10/26/2021,2908,3240.0,188
01JQPSNYP369KGTD9SZ5KRME7P,LFTY0459,2883823670,04/01/2025,891,21358.0,115
01HVHXR6QQECQ3QXF81YRF2G0F,LFTY0338,1753171805,04/16/2024,1502,6250.0,89
01HX2X8KMQVSY55D84GNFJK9TK,LFTY401,1820063739,05/09/2024,829,10078.0,126
01JVN5GDS9SKZHJ4F13VQM10JE,LFTY0466,3006797838,05/20/2025,29,1606.0,8
01HQPBRGHMGY6J768GPKRRRWG2,LFTY0302,1619680930,02/29/2024,1634,9049.0,104
01FJ0V9E5W530JWHK57PF0MZMH,LFTY0040,2768706941,02/13/2025,1,,1
01JJ2THFG8SPG6B4K038WZ4HEV,LFTY0441,2709191298,01/21/2025,599,6363.0,50
01J9WGBBAB1GDRA7Y033ABD4FC,LFTY0440,2369581852,10/16/2024,512,11256.0,49
01JH9T1330AEWJJR3THM4CG4PP,LFTY0443,2688848184,01/14/2025,10406,8653.0,99
01K2FFVKT70CRA8WMSY9DEPHP9,LFTY0482,3169208820,08/12/2025,1228,4570.0,75
01FKKH0XY0RTNV2B74JVAEQJXX,LFTY0026,395813328,11/03/2021,2576,2170.0,151
01JCEASBH5B3SFP68VWR3YCDN0,LFTY0316,2518429100,11/19/2024,663,19003.0,76
01JNY7MHBBBGD1G6M0YGWJ0YZY,LFTY0464,2831842396,03/12/2025,1577,29818.0,126
01J9M4JZ12GMJVJ44DETB8CSKQ,LFTY0409,2349361152,10/08/2024,300,16913.0,27
01K1KEB3HS6VSQXXZG0Y7DKSCC,LFTY0431,3158187463,08/05/2025,72,7803.0,18
01JF6J3649A2VR22DC08HE32J2,LFTY0442,2611223991,12/17/2024,459,1377.0,32
01JAQT757A9ZBN44WJ0D5B0XVD,LFTY0436,2390875774,10/23/2024,343,7488.0,37
01JW6YZF5HJPT8EWSAKZDWKJ2M,LFTY0474,3021467375,05/28/2025,227,2127.0,34
01H6RZ1ETKA3N7HAAA2TKWJGWQ,LFTY0315,1167819755,08/10/2023,3319,5000000.0,239
01J01NBFDNWSJMWCDVT657BVCV,LFTY0408,2065944898,06/25/2024,892,2978.0,81
01FNMVMNP4MVG9V6MXM51SPFTP,LFTY0096,2835101616,03/13/2025,2470,16166.0,695
01JQ7E3CEJ2727DYEWSHJP9V29,LFTY0421,2867097489,03/26/2025,1035,8918.0,74
01HP0C6PTQN0SWTXYHT0WGX8F4,LFTY0329,1534723354,02/15/2024,3607,14005.0,201
01FNSMTASFCP7DTAJENQ0HMAME,LFTY0095,449485006,12/01/2021,2690,4788.0,161
01FMBAJS39T784QYDBVC03K0GR,LFTY0059,415780733,11/13/2021,7634,6978.0,480
01FN0KMRMBY5FYT24A8935ZZXM,LFTY0084,433935394,11/21/2021,2898,4436.0,170
01FYA7B7ASPZ1C1K5Y7VVTNBJ8,LFTY0122,2835131767,03/13/2025,1897,9831.0,460
01FJG0QAVSKK1MQWZ28XXVXSPB,LFTY0037,377975532,10/21/2021,2978,4210.0,231
01GEMZ1F8HDXDQPX3ZDFV1EZYS,LFTY0263,894817444,10/06/2022,9272,9528.0,765
01FN4YH4XH19G1T0QMSWYD1QAB,LFTY0089,437070179,11/23/2021,2599,2623.0,182
01G0364A8VB2BH861CN84JR5KJ,LFTY0130,695242274,04/08/2022,1528,1950.0,83
01G6HB0G3MK5ND2Z184FFVNT6Z,LFTY0158,2835162415,03/13/2025,599,2126.0,135
01FQ0P6Z9ZFM7A7AB22358MTDY,LFTY0063,468433605,12/16/2021,2260,2651.0,115
01FKPEZVFSD6KDYN5DY5Y7Z2AE,LFTY0068,397955540,11/04/2021,2631,2176.0,135
01FSQWFTQTFQA9K1RSP4TA6ESB,LFTY0106,555868957,01/20/2022,1692,2255.0,81
01FM632J5ZX33231WGAPBAQW67,LFTY0072,2834616062,03/13/2025,690,4661.0,181
01HWGEKTRMRFKFR2TQ2WN3SRDM,LFTY0400,1802218309,04/30/2024,1781,9149.0,97
01HTX65S2TCB8M3SHBVTZY7QCV,LFTY0340,1734822901,04/09/2024,2393,6042.0,136
01GA2HQA2RAWY2MPR5FDVJGDRM,LFTY0163,834658869,08/10/2022,1393,1610.0,99
01FHR5PK90GXRD3T56A1MXWYQT,LFTY0034,2834616057,03/13/2025,530,3033.0,156
01FKER0A73QJBYP4JQHW10KYBH,LFTY0046,393401013,11/01/2021,2507,2572.0,137
