property_id,asa_id,property_type,mean_tokens_per_holder,median_tokens_per_holder
01F3NMA3R3E9QMGJKJ2TF4A6HK,LFTY0001,single family,15.0,3.0
01F9YN2XC891JSZ1S7M63MBNVX,LFTY0002,single family,6.0,3.0
01FBJD5D0H729QC0DZK67RSA3J,LFTY0004,single family,12.0,2.0
01FBSM84CT3RNTW13722P5FM5G,LFTY0005,triplex,5.0,2.0
01FDD8E2MGZXX2WXT7D4T5ZRRK,LFTY0006,single family,16.0,2.0
01FDH2AHH5YWYGFBJN1QVG69KQ,LFTY0007,single family,16.0,2.0
01FDTMH0KXNHE870B7T8KMW7V9,LFTY0008,single family,14.0,2.0
01FDXK82G96GQS99G4F5TXRY27,LFTY0009,single family,13.0,3.0
01FE2DFK3B1JMJK6GC37NZ9521,LFTY0010,triplex,14.0,2.0
01FEFADYB3PZG81EXEKSTCCMCV,LFTY0011,single family,18.0,4.0
01FF0R0PD9E0F8TY4KHP680FDD,LFTY0012,single family,8.0,2.0
01FFDC3PKRN4ASNXB3RXNTMDME,LFTY0013,single family,13.0,3.0
01FFGJ6KV1AP234NKH4ZBQ8N13,LFTY0014,single family,12.0,2.0
01FG1XQG32PVZG5A5B6JHQDQZE,LFTY0016,single family,9.0,2.0
01FG4NWXGEN87QTSA1RR3QWZKZ,LFTY0017,single family,12.0,2.0
01FG8BB94G8P6PYYW7YM9BVBMG,LFTY0019,single family,12.0,2.0
01FG9TK5697PHWZF3VA7KFPTVT,LFTY0018,duplex,15.0,3.0
01FGMG8MRDHVQCW9RBY4VTCREY,LFTY0020,single family,18.0,4.0
01FGPR6RH69YDGKAMRTPE6XNBE,LFTY0021,single family,8.0,2.0
01FGS6HM0KWR822QJ20DF98ZQA,LFTY0022,single family,5.0,2.0
01FGVZAJ6DK5SJM3W4ECFGCZFY,LFTY0023,single family,20.0,3.0
01FH3DDBK4CFFSNGN65PZB5ZGH,LFTY0024,single family,7.0,2.0
01FH6Q057EZ7V0Y1WY2AQ7GVAR,LFTY0025,duplex,12.0,3.0
01FH96CJNWDCTGV6Y8PS4MZFSH,LFTY0029,single family,21.0,4.0
01FHE85W8EPCGPRDJAJMAFPSSP,LFTY0028,single family,15.0,2.0
01FHGRJ6VB01SS4CC7Z068BDAM,LFTY0031,single family,11.0,4.0
01FHR5PK90GXRD3T56A1MXWYQT,LFTY0034,single family,20.0,3.0
01FHV4VKVX95QJT2MMJABTTJMM,LFTY0036,single family,28.0,5.0
01FHXGY78BHFZM2PK79F4JBZCS,LFTY0038,single family,15.0,3.0
01FJ37T1FMS1ADNHFG8QHD2DPS,LFTY0042,commercial,10.0,2.0
01FJATT1XY6K1XJPZ37GN6JSCD,LFTY0043,single family,25.0,4.0
01FJG0QAVSKK1MQWZ28XXVXSPB,LFTY0037,single family,15.0,3.0
01FJZ4S4KD7CJVZB8BRVYVCAZD,LFTY0049,single family,17.0,2.0
01FK1E5NHX4PEZC1GXVSSAPWXP,LFTY0041,single family,9.0,2.0
01FK4QMB4DJP66KNJDBFAKBZSP,LFTY0054,single family,10.0,3.0
01FKER0A73QJBYP4JQHW10KYBH,LFTY0046,single family,14.0,2.0
01FKH3TZ7FWKFHZV5YB94HV0YM,LFTY0056,single family,13.0,2.0
01FKKH0XY0RTNV2B74JVAEQJXX,LFTY0026,single family,14.0,2.0
01FKPEZVFSD6KDYN5DY5Y7Z2AE,LFTY0068,single family,11.0,2.0
01FKSCK3GDAFCF0HVMRAGGG8MN,LFTY0069,single family,20.0,2.0
01FKVM5P0WS9JPMCDZ1GB1RQQG,LFTY0062,duplex,11.0,2.0
01FKZ6V2JVV5NB1BYGX1Q5BJFD,LFTY0027,duplex,22.0,4.0
01FM632J5ZX33231WGAPBAQW67,LFTY0072,single family,26.0,5.0
01FMB6BRGYJDJ06P5G3XMF5XY5,LFTY0078,duplex,7.0,2.0
01FMBAJS39T784QYDBVC03K0GR,LFTY0059,duplex,15.0,3.0
01FMDJ818RZTM1WQEKN9Z7GXGY,LFTY0073,single family,8.0,3.0
01FMN4Q2M9MW33ERXJKG61MTRD,LFTY0082,single family,24.0,3.0
01FMR7NN4VTT9E9WFH8G32E7XY,LFTY0061,single family,14.0,2.0
01FMTB24EZ6T1BZ1Q5S5JJ5JWC,LFTY0077,triplex,7.0,3.0
01FN0KMRMBY5FYT24A8935ZZXM,LFTY0084,single family,21.0,4.0
01FN4YH4XH19G1T0QMSWYD1QAB,LFTY0089,single family,12.0,2.0
01FN7VZB6DXAB3CBENQV1CHFQD,LFTY0050,single family,17.0,2.0
01FNA2XERVE2KF27MBW9PCAABG,LFTY0093,duplex,4.0,2.0
01FNEZC3W9TXWMWDGQPC4FFMTZ,LFTY0094,single family,18.0,3.0
01FNMVMNP4MVG9V6MXM51SPFTP,LFTY0096,two 3-unit properties,23.0,2.0
01FNSMTASFCP7DTAJENQ0HMAME,LFTY0095,triplex,25.0,5.0
01FNWTCSMS7ZN9C14FRVZ64RSX,LFTY0100,duplex,17.0,4.0
01FPBC7MM6Y8FQJEBGYDN4ZQCN,LFTY0065,single family,18.0,3.0
01FPEFH3DEHBPA7QV2KTDK38RH,LFTY0099,single family,9.0,2.0
01FPKD7BNFR2D3H1CFTDNZMATT,LFTY0060,single family,7.0,2.0
01FQ0P6Z9ZFM7A7AB22358MTDY,LFTY0063,single family,19.0,3.0
01FRTX6G4XCSGNA373W80AP7BG,LFTY0098,single family,12.0,3.0
01FSQWFTQTFQA9K1RSP4TA6ESB,LFTY0106,single family,21.0,5.0
01FSZB7VJRKBWQX278N1M0A03P,LFTY0107,duplex,16.0,3.0
01FT9SAAV28S01GWZPAEC97FNH,LFTY0108,single family,16.0,3.0
01FTHEFJPXP17ENCEMWQMCHNXQ,LFTY0111,single family,33.0,6.0
01FWHNJ3BDWH2ND2XP27YZMWBS,LFTY0115,single family,12.0,2.0
01FX8C60TMYHCSM9476701HQMY,LFTY0116,multi family,7.0,2.0
01FXGSDYWKS8M6XQ5SY5XMT097,LFTY0117,duplex,22.0,4.0
01FXP30MHCTD5S3Y6B4GJQ301A,LFTY0118,single family,13.0,3.0
01FXTVANKYY3HXR2J52Y3PF8VS,LFTY0120,single family,8.0,2.0
01FYA7B7ASPZ1C1K5Y7VVTNBJ8,LFTY0122,mixed use,21.0,3.0
01FYMDBCSB68KV2Q9KRPNBQ7XW,LFTY0123,triplex,25.0,3.0
01FYQFF6HYNVJ45Z050R2H2JC5,LFTY0124,single family,9.0,3.0
01FZVB1JA1GZNX05T32QG0883R,LFTY0127,single family,20.0,2.0
01FZXZRGEV76TSXMFQHJK0Q1CW,LFTY0128,single family,7.0,3.0
01G00KEEJQAEGGA2FWGQ7JMG5R,LFTY0129,single family,15.0,3.0
